Cours d'eau, Embouchure, Bassin, Longueur (km)
Hyères,Aulne,Aulne,48
Isole,Ellé,Ellé,48
Jaudy,Manche,Jaudy,48
Oudrache,Bourbince,Loire,48
Ternin,Arroux,Loire,48
Tolzac,Garonne,Garonne,48
Valserine,Rhône,Rhône,48
Amance,Saône,Rhône,47
Baïsole,Baïse,Garonne,47
Bonnieure,Charente,Charente,47
Couze Pavin,Allier,Loire,47
Gapeau,Mer Méditerranée,Gapeau,47
Giffre,Arve,Rhône,47
Gouët,Manche,Gouët,47
Guye,Grosne,Rhône,47
Lauch,Ill,Rhin,47
Mare,Loire,Loire,47
Moselotte,Moselle,Rhin,47
Nohain,Loire,Loire,47
Odon,Orne,Orne,47
Sâne Vive,Seille,Rhône,47
Sornin,Loire,Loire,47
Sumène,Dordogne,Dordogne,47
Trèfle,Seugne,Charente,47
Verdouble,Agly,Agly,47
Vicoin,Mayenne,Loire,47
Bieudre,Allier,Loire,46
Boivre,Clain,Loire,46
Caramy,Argens,Argens,46
Doller,Ill,Rhin,46
Esch,Moselle,Rhin,46
Fiumorbo,Mer Méditerranée,Fiumorbo,46
Giffou,Céor,Garonne,46
Gravona,Prunelli,Prunelli,46
Issoire,Vienne,Loire,46
Issole,Caramy,Argens,46
Jaunay,Vie,Vie,46
Les Usses,Rhône,Rhône,46
Lihoury,Bidouze,Adour,46
Marmande,Cher,Loire,46
Ozanne,Loir,Loire,46
Rouvre,Orne,Orne,46
Selle,Escaut,Escaut,46
Semène,Loire,Loire,46
Sioulet,Sioule,Loire,46
Somme,Loire,Loire,46
Sorgues,Dourdou de Camarès,Garonne,46
Vésubie,Var,Var,46
Auloue,Baïse,Garonne,45
Brêche,Oise,Seine,45
Calonne,Touques,Touques,45
Curé,Océan Atlantique,Curé,45
Eaulne,Arques,Arques,45
Estéous,Adour,Adour,45
Lère,Aveyron,Garonne,45
Lergue,Hérault,Hérault,45
Loyre,Vézère,Dordogne,45
Ouysse,Dordogne,Dordogne,45
Retourne,Aisne,Seine,45
Rivière du Canut,Vilaine,Vilaine,45
Selves,Truyère,Garonne,45
Vesgre,Eure,Seine,45
Alzou,Aveyron,Garonne,44
Arzon,Loire,Loire,44
Asse,Benaize,Loire,44
Auze,Dordogne,Dordogne,44
Beaume,Ardèche,Rhône,44
Branlin,Ouanne,Seine,44
Breuchin,Lanterne,Rhône,44
Dive du Sud,Clain,Loire,44
Eberbach,Sauer,Rhin,44
Ignon,Tille,Rhône,44
Libron,Mer Méditerranée,Libron,44
Louet,Adour,Adour,44
Nahon,Fouzon,Loire,44
Noue,Garonne,Garonne,44
Œil,Aumance,Loire,44
Oignin,Ain,Rhône,44
Petit Buëch,Buëch,Rhône,44
Prunelli,Mer Méditerranée,Prunelli,44
Rizzanese,Mer Méditerranée,Rizzanese,44
Sanguèze,Sèvre Nantaise,Loire,44
Siagne,Mer Méditerranée,Siagne,44
Voulzie,Seine,Seine,44
Aubois,Loire,Loire,43
Bourne,Isère,Rhône,43
Cléry,Loing,Seine,43
Guindy,Jaudy,Jaudy,43
Noireau,Orne,Orne,43
Tude,Dronne,Dordogne,43
Veuvre,Vilaine,Vilaine,43
Vilpion,Serre,Seine,43
Zinsel du Nord,Moder,Rhin,43
Airon,Sélune,Sélune,42
Almont,Seine,Seine,42
Andlau,Ill,Rhin,42
Ardoux,Loire,Loire,42
Aussonnelle,Garonne,Garonne,42
Authre,Cère,Dordogne,42
Barangeon,Yèvre,Loire,42
Douctouyre,Hers-Vif,Garonne,42
Dunières,Lignon du Velay,Loire,42
Durgeon,Saône,Rhône,42
Livenne,Garonne,Garonne,42
Même,Huisne,Loire,42
Ousse,Gave de Pau,Adour,42
Oze,Brenne,Seine,42
Saye,Isle,Dordogne,42
Séran,Rhône,Rhône,42
Théols,Arnon,Loire,42
Valouse,Ain,Rhône,42
Veude,Vienne,Loire,42
Vière,Chée,Seine,42
Arnoult,Charente,Charente,41
Baïse de Lasseube,Gave de Pau,Adour,41
Bertrande,Etze,Dordogne,41
Cance,Rhône,Rhône,41
Combade,Vienne,Loire,41
Estrigon,Midouze,Adour,41
Glane,Vienne,Loire,41
Gouessant,Manche,Gouessant,41
Guyotte,Doubs,Rhône,41
Jordanne,Cère,Dordogne,41
Lambon,Sèvre Niortaise,Sèvre Niortaise,41
Lawe,Lys,Escaut,41
Liamone,Mer Méditerranée,Liamone,41
Mars,Sumène,Dordogne,41
